seccion,manzana,parcela,partida,calle_nombre,calle_altura,vencimiento_certificado,direccion,lat,lon,epsg
8,18,6,111459.0,"JOVELLANOS, GASPAR M. de",328,2020-01-21,"JOVELLANOS, GASPAR M. de 328",-34.634452,-58.373130,4326
12,71,17,216477.0,"IRIGOYEN, BERNARDO de",678,2020-01-21,"IRIGOYEN, BERNARDO de 678",-34.616043,-58.380281,4326
31,98,2,420457.0,LAVALLEJA,1291,2020-01-21,LAVALLEJA 1291,-34.595115,-58.425584,4326
28,42,3,198799.0,MEXICO,3044,2020-01-21,MEXICO 3044,-34.618492,-58.408564,4326
22,35,42,181149.0,PASCO,1011,2020-01-21,PASCO 1011,-34.620900,-58.397108,4326
36,6,025A,162063.0,MUÑIZ,1089,2020-01-21,MUÑIZ 1089,-34.626601,-58.425676,4326
48,110A,13,141989.0,ESPARTACO,962,2020-01-22,ESPARTACO 962,-34.638429,-58.454299,4326
36,46,10,153128.0,RIVADAVIA AV.,4296,2020-01-22,RIVADAVIA AV. 4296,-34.613763,-58.426021,4326
79,005D,14,306306.0,"DIAZ, CESAR, GRAL.",4387,2020-01-22,"DIAZ, CESAR, GRAL. 4387",-34.624640,-58.493798,4326
19,125,4,424219.0,"MANSILLA, LUCIO NORBERTO, GENERAL",3682,2020-01-22,"MANSILLA, LUCIO NORBERTO, GENERAL 3682",-34.590762,-58.415126,4326
15,8,26,444813.0,"DIAZ, CNEL. AV.",1520,2020-01-22,"DIAZ, CNEL. AV. 1520",-34.592805,-58.413393,4326
40,72,11,157179.0,FORMOSA,578,2020-01-22,FORMOSA 578,-34.621470,-58.436382,4326
34,10,012D,910412.0,SAENZ AV.,914,2020-01-22,SAENZ AV. 914,Sin dato,Sin dato,Sin dato
19,89,2,426467.0,SOLER,4422,2020-01-22,SOLER 4422,-34.588896,-58.422535,4326
39,9,17,325268.0,"SUCRE, ANTONIO JOSE de, Mcal.",3601,2020-01-22,"SUCRE, ANTONIO JOSE de, Mcal. 3601",-34.570967,-58.467100,4326
40,33,13,158351.0,THOMPSON,618,2020-01-22,THOMPSON 618,-34.626645,-58.438993,4326
37,130,28,410023.0,AMENABAR,1084,2020-01-22,AMENABAR 1084,-34.570626,-58.449554,4326
39,30,002F,374212.0,"SUCRE, ANTONIO JOSE de, Mcal.",3366,2020-01-22,"SUCRE, ANTONIO JOSE de, Mcal. 3366",-34.569545,-58.464469,4326
57,30,019C,132842.0,"VALLESE, FELIPE",1719,2020-01-22,"VALLESE, FELIPE 1719",-34.617607,-58.458109,4326
23,10,004A,414408.0,MAURE,2334,2020-01-22,MAURE 2334,-34.570960,-58.441195,4326
48,127,25,141455.0,CAMACUA,845,2020-01-22,CAMACUA 845,-34.636734,-58.454421,4326
31,40,5,421573.0,LOYOLA,448,2020-01-22,LOYOLA 448,-34.596675,-58.434927,4326
35,115,8,402554.0,HUMBOLDT,2481,2020-01-22,HUMBOLDT 2481,-34.578306,-58.427780,4326
28,24,42,195818.0,SANCHEZ DE LORIA,115,2020-01-22,SANCHEZ DE LORIA 115,-34.611767,-58.413965,4326
5,036A,003A,224003.0,"PERON, JUAN DOMINGO, TTE. GENERAL",1374,2020-01-22,"PERON, JUAN DOMINGO, TTE. GENERAL 1374",-34.606445,-58.386037,4326
19,017B,001A,427486.0,GORRITI,4908,2020-01-22,GORRITI 4908,-34.589939,-58.430452,4326
31,61,14,420623.0,CASTILLO,177,2020-01-22,CASTILLO 177,-34.598171,-58.431644,4326
12,70,023B,216518.0,TACUARI,739,2020-01-22,TACUARI 739,-34.616935,-58.378851,4326
38,196,1,38278.0,RONDEAU,3708,2020-01-22,RONDEAU 3708,-34.637262,-58.417741,4326
35,48,4,404455.0,COSTA RICA,5930,2020-01-22,COSTA RICA 5930,-34.580085,-58.438069,4326
48,8,001B,146369.0,"MARTI, JOSE",415,2020-01-22,"MARTI, JOSE 415",-34.636591,-58.470140,4326
19,32,20,426718.0,ARMENIA,1535,2020-01-22,ARMENIA 1535,-34.590524,-58.428842,4326
47,172,20,295523.0,CORRIENTES AV.,5248,2020-01-22,CORRIENTES AV. 5248,-34.599573,-58.439254,4326
15,71,32,445935.0,BOLLINI,2282,2020-01-22,BOLLINI 2282,-34.586159,-58.403018,4326
61,195,19,244399.0,TRIUNVIRATO AV.,3942,2020-01-22,TRIUNVIRATO AV. 3942,-34.579823,-58.476395,4326
11,80,12,441834.0,AYACUCHO,1577,2020-01-22,AYACUCHO 1577,-34.591183,-58.393139,4326
47,158,003A,305361.0,"JUSTO, JUAN B. AV.",2726,2020-01-22,"JUSTO, JUAN B. AV. 2726",-34.595899,-58.445751,4326
30,10,013A,186031.0,BOEDO AV.,722,2020-01-22,BOEDO AV. 722,-34.621430,-58.416391,4326
11,13,027A,447577.0,CORDOBA AV.,2475,2020-01-22,CORDOBA AV. 2475,-34.599130,-58.402272,4326
17,89,5,170487.0,INCA,3846,2020-01-23,INCA 3846,Sin dato,Sin dato,Sin dato
41,12,20,326988.0,MELIAN AV.,2542,2020-01-23,MELIAN AV. 2542,-34.565099,-58.471804,4326
39,8,7,325028.0,WASHINGTON,1821,2020-01-23,WASHINGTON 1821,-34.572146,-58.467245,4326
15,100,005D,447136.0,"CABRERA, JOSE A.",3046,2020-01-23,"CABRERA, JOSE A. 3046",-34.597005,-58.409546,4326
