Código,Calidad 1,Calidad 2,Calidad 3,Calidad 4
20030709,354,36,0,0
20030801,285,28,1,0
20030802,106,96,4,0
20030803,296,33,0,0
20030804,194,13,2,1
20030805,177,20,0,0
20030806,164,32,0,1
20030807,134,31,0,0
20030808,194,3,0,0
20030809,288,7,0,0
20030810,205,9,0,0
20030901,273,88,16,3
20030902,160,39,0,0
20030903,314,15,0,0
20030904,345,18,12,0
20030905,181,23,2,0
20030906,178,12,0,3
20030907,167,21,26,0
20030908,172,24,14,0
20030909,332,23,0,0
20030910,251,39,1,0
20031001,334,41,1,0
20031002,299,19,1,1
20031003,217,13,1,0
20031004,273,5,0,0
20031005,178,20,1,0
20031006,349,19,2,1
20031007,293,33,1,2
20031008,240,27,3,0
20031101,301,40,4,0
20031102,352,80,0,0
20031103,276,58,4,0
20031104,298,55,7,0
20031105,260,49,5,0
20031106,369,27,0,0
20031107,400,23,3,0
20031108,257,7,0,1
20031201,284,58,8,0
20031202,336,56,4,0
20031203,251,11,2,0
20031204,211,16,0,0
20031205,442,29,2,0
20031206,35,14,0,0
20031207,402,25,4,0
20031208,266,19,0,0
20031209,182,22,1,0
20031210,248,42,6,2
20031301,268,27,2,1
20031302,301,26,0,0
20031303,335,32,2,0
20031304,167,8,31,0
20031305,272,44,4,1
20031306,267,43,3,0
20031307,204,44,0,0
20031308,218,19,1,0
20031309,318,26,1,0
20031310,126,35,1,0
20031311,234,23,3,0
20031401,296,36,3,0
20031402,333,49,2,1
20031403,409,37,0,0
20031404,253,24,8,1
20031405,321,39,0,1
20031406,457,48,0,0
20031407,195,47,3,1
20031408,279,28,1,0
20031409,31,1,0,0
20031410,273,29,1,0
20031501,237,31,0,0
20031502,332,34,1,0
20031503,256,11,1,1
20031504,285,32,2,3
20031505,310,52,8,0
20031506,305,42,5,0
20031507,559,25,2,0
20031508,548,36,3,0
20031509,105,7,1,0
20031601,326,38,2,0
20031602,407,78,0,1
20031603,294,43,1,0
20031604,156,18,0,0
20031605,203,32,0,0
20031606,190,71,1,0
20031607,283,23,0,0
20031608,275,37,2,8
20031609,439,52,1,0
20031701,229,26,1,1
20031702,282,37,1,0
20031703,195,5,2,0
20031704,268,53,4,0
20031705,228,30,3,0
20031706,273,40,5,0
20031707,299,35,4,0
20031708,277,64,6,2
20031709,201,38,3,0
20031801,183,62,2,2
20031802,241,47,1,0
20031803,139,47,0,0
20031804,314,39,0,1
20031805,129,31,9,0
20031806,207,30,3,2
20031807,221,37,14,0
20031808,221,23,1,0
20031809,351,29,1,0
20031810,153,40,1,0
20031811,221,19,0,0
20031901,365,96,12,0
20031902,127,11,0,0
20031903,249,44,0,0
20031904,265,17,7,0
20031905,254,41,3,0
20031906,286,35,1,1
20031907,289,16,4,0
20031908,400,52,1,0
20031909,240,31,21,0
20031910,214,15,2,0
20032001,255,20,0,0
20032002,391,12,0,1
20032003,289,22,1,0
20032004,256,30,0,0
20032005,172,52,1,0
20032006,168,14,3,0
20032007,293,34,5,1
20032008,214,22,16,1
20032009,407,42,4,0
20032010,244,40,2,0
20032011,198,40,0,0
20032101,356,15,3,0
20032102,364,21,1,0
20032103,262,19,3,0
20032104,323,15,1,0
20032105,194,12,2,0
20032106,340,19,7,0
20032107,196,2,0,0
20032108,271,32,1,0
20032109,118,66,2,0
20032110,314,63,15,8
20032201,245,41,2,1
20032202,256,34,1,0
20032203,163,10,0,0
20032204,156,52,0,0
20032205,325,29,3,0
20032206,205,11,5,0
20032207,269,29,7,0
20032208,327,28,7,1
20032209,315,50,3,0
20032301,279,21,3,0
20032302,304,21,3,1
20032303,292,50,2,0
20032304,166,12,7,0
20032305,284,7,0,0
20032306,192,27,5,0
20032307,217,26,0,0
20032308,270,54,7,1
20032309,262,30,22,0
20032310,301,55,6,0
20032401,267,23,2,0
20032402,261,18,10,0
20032403,256,15,1,0
20032404,269,23,9,0
20032405,202,18,0,0
20032406,301,40,18,0
20032407,258,34,0,0
20032408,246,46,7,0
20032409,141,39,3,0
20032501,448,32,27,0
20032502,239,16,4,0
20032503,156,16,4,0
20032504,226,26,6,0
20032505,180,20,2,0
20032506,248,58,11,0
20032507,193,28,2,0
20032508,596,82,16,0
20032509,296,16,0,0
20032601,330,28,3,1
20032602,336,64,4,1
20032603,290,33,4,0
20032604,210,12,1,0
20032605,286,32,4,0
20032606,178,39,4,0
20032607,248,44,3,1
20032608,225,14,1,0
20032609,233,25,5,1
20032701,328,44,2,0
20032702,257,26,3,0
20032703,297,20,5,0
20032704,259,42,2,1
20032705,239,48,7,2
20032706,226,28,2,0
20032707,296,19,3,0
20040101,165,14,5,0
20040102,156,36,4,0
20040103,132,24,4,0
20040104,106,50,19,0
20040105,95,63,4,1
20040106,74,38,5,1
20040107,119,29,3,0
20040108,171,32,15,0
20040109,145,23,8,0
20040110,112,28,8,0
20040111,122,37,8,0
20040112,139,26,5,1
20040113,85,31,11,0
20040114,136,41,27,0
20040201,187,67,12,3
20040202,206,57,8,1
20040203,281,60,16,0
20040204,172,58,9,0
20040205,162,40,9,1
20040206,185,16,47,0
20040207,236,44,12,1
20040208,117,43,13,3
20040209,144,46,13,1
20040210,193,51,27,2
20040301,273,36,9,1
20040302,234,40,7,0
20040303,178,26,2,0
20040304,236,34,19,1
20040305,263,47,8,1
20040306,237,26,9,0
20040307,158,40,14,0
20040308,188,66,9,0
20040309,138,32,2,0
20040310,243,24,4,0
20040311,239,44,8,0
20040312,273,43,4,1
20040313,123,34,12,1
20040401,209,17,7,0
20040402,276,15,2,0
20040403,237,60,4,0
20040404,272,38,10,0
20040405,310,42,6,0
20040406,209,60,4,0
20040407,286,32,3,0
20040408,237,17,7,0
20040409,201,42,11,1
20040410,204,45,12,0
20040411,206,64,7,0
20040501,333,23,4,0
20040502,210,24,4,0
20040503,302,15,2,0
20040504,211,37,2,0
20040505,147,50,1,0
20040506,303,36,4,0
20040507,208,24,0,0
20040508,193,38,10,0
20040509,487,67,35,1
20040510,250,82,25,0
20040511,234,45,24,1
20040601,353,48,3,0
20040602,270,20,2,0
20040603,220,31,7,0
20040604,249,41,7,0
20040605,235,16,5,0
20040606,286,77,5,1
20040607,240,34,11,1
20040608,256,37,8,0
20040609,254,15,0,0
20040610,164,44,3,0
20040611,217,20,2,0
20040701,252,37,4,1
20040702,242,21,0,0
20040703,201,29,8,0
20040704,708,41,1,0
20040705,271,20,2,0
20040706,230,32,11,0
20040707,300,12,0,0
20040708,242,35,4,0
20040709,209,31,1,2
20040710,232,38,3,1
20040711,146,37,5,0
20040712,210,22,2,0
20040801,268,29,0,0
20040802,272,32,2,0
20040803,209,25,3,0
20040804,215,35,3,0
20040805,242,24,0,0
20040806,245,23,5,0
20040807,450,298,21,5
20040808,57,38,0,1
20040809,207,54,10,1
20040810,156,32,17,1
20040811,185,57,12,0
20040901,167,70,23,0
20040902,136,63,25,1
20040903,110,32,15,2
20040904,104,29,10,2
20040905,138,47,4,0
20040906,223,51,2,0
20040907,205,41,3,0
20041001,1,6,4,0
20041002,178,225,109,21
20041003,123,187,144,12
20041004,20,30,53,2
20041005,153,124,147,12
20041006,86,77,93,3
20041007,44,92,86,10
20041008,54,248,91,9
20041009,101,234,204,20
20041101,176,29,4,0
20041102,280,12,14,0
20041103,230,35,9,0
20041104,211,34,2,0
20041105,137,23,1,0
20041106,207,59,1,0
20041107,167,61,63,5
20041108,247,36,2,0
20041109,96,38,94,2
20041201,103,30,6,2
20041202,151,29,6,2
20041203,264,35,1,1
20041204,190,40,3,0
20041205,181,27,7,0
20041206,146,41,9,1
20041207,89,19,5,0
20041208,171,11,0,0
20041209,279,20,3,0
20041210,248,11,6,0
20041211,244,12,0,0
20041212,186,22,2,0
20041301,321,26,1,0
20041302,232,8,0,0
20041303,229,16,0,0
20041304,192,27,0,0
20041305,319,35,4,0
20041306,154,14,2,0
20041307,362,33,1,0
20041308,166,8,0,0
20041309,166,2,1,0
20041310,198,1,1,0
20041311,331,112,2,0
20041401,231,30,2,0
20041402,212,37,6,0
20041403,227,42,4,0
20041404,463,30,0,0
20041405,274,14,0,0
20041406,204,3,0,0
20041407,228,51,2,0
20041408,339,11,3,0
20041409,227,21,2,0
20041501,210,45,0,0
20041502,584,32,0,0
20041503,433,46,2,0
20041504,258,23,10,0
20041505,208,7,1,0
20041506,210,26,2,0
20041507,239,29,0,0
20041508,235,31,4,0
20041509,227,14,1,1
20041510,171,9,1,0
20041601,244,7,2,0
20041602,810,66,3,0
20041603,418,8,0,0
20041604,202,31,12,2
20041605,328,45,8,0
20041606,234,6,2,0
20041607,139,4,4,0
20041608,189,19,2,2
20041609,403,13,7,1
20041610,250,21,2,0
20041701,216,1,0,0
20041702,228,8,1,0
20041703,180,19,15,1
20041704,247,39,5,0
20041705,296,32,0,0
20041706,269,7,0,0
20041707,241,9,5,0
20041708,258,46,39,3
20041709,302,29,0,0
20041710,212,31,18,0
20041801,9,5,4,24
20041901,169,52,10,12
20041902,212,19,9,0
20041903,224,86,10,1
20041904,259,55,16,2
20041905,223,24,9,0
20041906,206,89,44,4
20041907,150,56,55,4
20041908,94,77,63,7
20041909,161,50,84,12
20041910,207,37,8,5
20042001,190,41,39,2
20042002,216,25,2,1
20042003,165,56,28,5
20042004,138,43,35,3
20042005,142,20,47,1
20042006,199,47,54,1
20042007,233,36,12,0
20042008,176,31,24,10
20042009,214,44,25,0
20042010,229,67,42,3
20042011,252,48,15,2
20042012,408,46,2,1
20042101,159,50,25,3
20042102,137,31,67,6
20042103,150,22,15,9
20042104,128,37,66,4
20042105,168,50,17,1
20042106,164,73,21,4
20042107,201,37,8,0
20042108,183,54,40,13
20042109,110,57,53,14
20042110,82,51,53,39
20042111,176,45,28,5
20042112,134,29,18,4
20042201,235,11,0,0
20042202,237,48,4,0
20042203,337,9,0,0
20042204,478,8,0,0
20042205,219,41,5,0
20042206,254,0,0,0
20042207,363,12,3,0
20042208,306,35,7,0
20042209,205,28,6,0
20042210,214,12,0,0
20042211,247,6,1,0
20042212,178,15,3,0
20042301,208,44,9,0
20042302,200,56,18,1
20042303,175,53,14,1
20042304,187,51,18,2
20042305,196,14,2,0
20042306,251,41,7,0
20042307,174,39,11,1
20042308,236,41,8,1
20042309,95,16,9,1
20042310,156,45,22,3
20042311,154,23,4,0
20042312,118,48,33,2
20042401,94,114,156,7
20042402,110,149,223,11
20042403,56,96,145,8
20042404,94,118,237,18
20042405,42,51,86,10
20042406,38,75,213,14
20042501,57,340,137,46
20042502,171,238,47,18
20042503,171,378,214,41
20042504,39,214,159,28
20042601,18,18,80,1
20042602,187,6,51,1
20042603,52,35,97,5
20050101,235,11,4,0
20050102,350,16,4,0
20050103,308,16,1,0
20050104,260,40,7,0
20050105,414,33,1,0
20050106,181,22,2,0
20050107,293,9,0,0
20050108,286,25,5,0
20050109,337,7,0,0
20050110,295,5,0,0
20050201,261,58,1,0
20050202,234,28,0,0
20050203,282,14,1,0
20050204,413,13,1,0
20050205,211,8,1,0
20050206,170,47,8,0
20050207,181,56,3,0
20050208,371,56,4,0
20050209,295,26,2,1
20050210,266,25,0,0
20050211,356,27,0,0
20050301,299,12,2,0
20050302,441,29,9,0
20050303,105,29,4,0
20050304,187,16,22,2
20050305,285,32,1,0
20050306,273,24,0,0
20050307,211,76,6,0
20050308,149,12,1,0
20050309,282,18,3,0
20050310,201,15,9,0
20050311,329,37,16,1
20050401,362,42,4,1
20050402,314,26,2,0
20050403,266,16,1,0
20050404,258,16,0,1
20050405,289,37,4,0
20050406,485,16,0,0
20050407,220,29,1,0
20050408,475,19,1,0
20050409,300,28,2,0
20050501,320,13,2,0
20050502,549,14,0,0
20050503,329,21,0,0
20050504,259,27,1,0
20050505,208,28,4,0
20050506,290,15,2,6
20050507,377,33,9,0
20050508,307,8,7,0
20050601,295,5,1,0
20050602,350,54,1,0
20050603,404,31,0,0
20050604,600,46,1,0
20050605,476,65,0,1
20050606,342,21,1,0
20050607,369,23,2,0
20050608,346,30,0,0
20050701,487,22,5,0
20050702,188,19,1,0
20050703,258,11,0,0
20050704,509,81,1,0
20050705,503,94,1,0
20050706,248,35,7,1
20050707,185,9,2,0
20050708,297,54,19,0
20050801,462,79,4,0
20050802,305,9,3,0
20050803,460,31,2,0
20050804,397,47,2,0
20050805,171,1,0,0
20050806,365,20,0,0
20050807,354,14,25,0
20050808,312,34,2,0
20050809,302,23,1,0
20050901,395,53,3,0
20050902,269,6,0,0
20050903,243,21,1,0
20050904,205,26,0,0
20050905,250,7,0,0
20050906,213,27,0,0
20050907,197,17,4,0
20050908,425,27,1,0
20050909,415,9,0,0
20050910,293,35,5,0
20051001,483,35,3,0
20051002,508,22,0,0
20051003,131,22,1,0
20051004,233,9,0,0
20051005,232,31,1,0
20051006,285,19,1,0
20051007,478,59,1,0
20051008,260,36,1,0
20051009,270,44,2,0
20051010,239,13,0,0
20051101,465,44,5,0
20051102,321,54,1,1
20051103,245,26,1,0
20051104,289,24,4,0
20051105,275,14,7,0
20051106,278,29,3,0
20051107,408,39,6,0
20051108,235,71,9,1
20051109,387,60,4,0
20051110,324,23,0,0
20051201,218,29,3,0
20051202,792,31,0,0
20051203,345,56,4,0
20051204,273,33,1,0
20051205,181,5,1,0
20051206,608,116,3,0
20051207,263,59,2,0
20051301,365,26,1,0
20051302,289,28,2,0
20051303,301,43,4,0
20051304,241,32,3,0
20051305,272,25,5,0
20051306,333,28,2,0
20051307,301,15,0,0
20051308,404,13,0,0
20051309,399,13,0,0
20051401,262,4,2,0
20051402,321,20,1,0
20051403,480,44,8,0
